,Provider Name,Procedures,Provider State,Region,Count Of Services,Charges,Payment,Cluster_22
1680,MERITUS MEDICAL CENTER,91,1,1,5106,1151732.1699999997,1086841.7900000003,1
1681,MERRIMACK VALLEY HOSPITAL,64,1,1,3800,648938.2199999997,342204.7000000002,0
1682,METHODIST AMBULATORY SURGERY HOSPITAL NW,4,1,1,480,146783.21000000002,37437.31,20
1683,METHODIST CHARLTON MEDICAL CENTER,92,1,1,7024,2557989.71,727105.1300000002,1
1684,METHODIST DALLAS MEDICAL CENTER,101,1,1,8398,3248835.0400000005,1083231.5600000003,16
1685,METHODIST HEALTHCARE FAYETTE HOSPITAL,10,1,1,278,103006.57999999999,23358.93,20
1686,METHODIST HEALTHCARE MEMPHIS HOSPITALS,122,1,1,35682,3907001.95,1175137.0799999996,4
1687,METHODIST HOSPITAL,118,2,2,42311,5899292.369999999,1383615.77,5
1688,METHODIST HOSPITAL FOR SURGERY,4,1,1,219,104364.16,50681.88,20
1689,METHODIST HOSPITAL OF CHICAGO,36,1,1,6003,425826.91,185010.59,7
1690,METHODIST HOSPITAL OF SACRAMENTO,56,1,1,2967,3010117.8899999997,663383.4,1
1691,METHODIST HOSPITAL OF SOUTHERN CA,104,1,1,6888,5315382.430000001,1064036.6700000004,16
1692,"METHODIST HOSPITAL,THE",121,1,1,22695,5877146.919999997,1111872.4199999997,10
1693,METHODIST HOSPITALS INC,112,1,1,10711,2849860.3099999987,988350.91,18
1694,METHODIST MANSFIELD MEDICAL CENTER,44,1,1,1576,1134497.1199999996,259009.21,0
1695,METHODIST MCKINNEY HOSPITAL,1,1,1,55,32115.51,11180.82,20
1696,METHODIST MEDICAL CENTER OF ILLINOIS,113,1,1,20172,3656741.4299999997,946973.5500000003,4
1697,METHODIST MEDICAL CENTER OF OAK RIDGE,91,1,1,6943,2084095.68,648973.4299999998,1
1698,METHODIST RICHARDSON MEDICAL CENTER,49,1,1,2101,1588808.3199999994,449294.45999999996,14
1699,METHODIST STONE OAK HOSPITAL,61,1,1,1904,2344220.3100000005,474283.2099999999,14
1700,METHODIST SUGAR LAND HOSPITAL,90,1,1,6704,3740013.280000002,691936.5899999997,18
1701,METHODIST WEST HOUSTON HOSPITAL,1,1,1,14,22316.36,4277.57,20
1702,METHODIST WILLOWBROOK HOSPITAL,90,1,1,4078,3963666.6200000006,669923.6100000005,18
1703,METRO HEALTH HOSPITAL,86,1,1,9949,1424975.130000001,723821.41,1
1704,METRO HEALTH MEDICAL CENTER,110,1,1,110771,2010684.33,1158100.0400000003,9
1705,METRO NASHVILLE GENERAL HOSPITAL,22,1,1,3663,164676.99000000002,81202.73000000004,20
1706,METROPLEX HOSPITAL,72,1,1,6761,1430025.4699999993,406053.82,14
1707,METROPOLITAN HOSPITAL CENTER,22,1,1,447,245305.13999999998,263308.37999999995,7
1708,METROPOLITAN HOSPITAL OF MIAMI,51,1,1,2447,1296697.9700000004,374405.8500000001,0
1709,METROSOUTH MEDICAL CENTER,87,1,1,5304,2410726.4899999998,744969.9199999998,1
1710,METROWEST MEDICAL CENTER,107,1,1,12805,1578590.0899999996,877681.6900000003,18
1711,MIAMI COUNTY MEDICAL CENTER,13,1,1,1383,61783.969999999994,26500.12,20
1712,MIAMI VALLEY HOSPITAL,116,1,1,17739,4793077.989999999,1017207.9100000004,16
1713,MID COAST HOSPITAL,57,1,1,5305,667786.25,282439.76999999996,0
1714,MID-COLUMBIA MEDICAL CENTER,26,1,1,3498,259888.45000000007,137712.65000000002,7
1715,MIDDLE TENNESSEE MEDICAL CENTER INC,105,1,1,8205,2459277.520000001,744370.0899999996,18
1716,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT,39,1,1,1694,491528.4699999999,172674.31,7
1717,MIDDLESEX HOSPITAL,98,1,1,17665,3032866.7700000014,806324.9300000003,18
1718,MIDLAND MEMORIAL HOSPITAL,100,1,1,8176,2255091.96,737332.1900000004,1
1719,MIDMICHIGAN MEDICAL CENTER-CLARE,36,1,1,4257,330399.0799999999,155254.14999999997,7
1720,MIDMICHIGAN MEDICAL CENTER-GRATIOT,63,1,1,3456,617636.64,400576.9499999999,0
1721,MIDMICHIGAN MEDICAL CENTER-MIDLAND,101,1,1,18708,1780487.7799999996,766521.1799999999,1
1722,MIDSTATE MEDICAL CENTER,95,1,1,7500,1850565.68,763743.82,1
1723,"MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL, LLC",3,1,1,766,43839.19,12406.960000000001,20
1724,MIDWEST REGIONAL MEDICAL CENTER,111,1,1,9715,5614923.139999998,765722.7399999999,16
1725,MIDWEST SURGICAL HOSPITAL LLC,6,1,1,1040,191385.51,52161.64,20
1726,MIDWESTERN REGION MED CENTER,9,1,1,2077,86641.48999999999,27702.77,20
1727,MILAN GENERAL HOSPITAL,4,1,1,166,7043.78,4425.84,20
1728,"MILE BLUFF MEDICAL CENTER, INC",28,1,1,1959,271963.81000000006,95451.69000000003,7
1729,MILES MEMORIAL HOSPITAL (LINCOLN COUNTY HEALTHCARE,34,1,1,2036,492307.69,245721.91999999993,7
1730,"MILFORD HOSPITAL, INC",42,1,1,1762,834745.2799999999,310323.2799999999,0
1731,MILFORD REGIONAL MEDICAL CENTER,87,1,1,6469,1213863.6900000002,572697.3099999999,14
1732,MILLCREEK COMMUNITY HOSPITAL,27,1,1,733,275729.18,131074.73,7
1733,MILTON HOSPITAL INC,60,1,1,3513,764611.2899999999,387352.59000000014,0
1734,MILTON S HERSHEY MEDICAL CENTER,114,1,1,112115,3316077.2399999993,1358161.9399999995,9
1735,MIMBRES MEMORIAL HOSPITAL,25,1,1,961,473696.8299999999,115023.09,7
1736,MINDEN MEDICAL CENTER,54,1,1,2396,1051566.59,397092.50000000006,0
1737,MINERAL AREA REGIONAL MEDICAL CENTER,42,1,1,1924,721549.57,198847.96000000008,0
1738,MINERS MEDICAL CENTER,16,1,1,703,120785.61999999998,54904.880000000005,20
1739,MINISTRY SAINT JOSEPH'S HOSPITAL,89,1,1,3940,2319495.3,943629.2300000002,18
1740,MINISTRY ST MARYS HOSPITAL,47,1,1,15127,628339.9400000001,233156.12999999998,0
1741,MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT,53,1,1,8144,456551.73,216312.80999999997,0
1742,MIRIAM HOSPITAL,106,1,1,8151,3410556.430000001,981876.8600000005,16
1743,MISSION COMMUNITY HOSPITAL - PANORAMA,45,1,1,2407,1134452.3999999997,528188.8,0
1744,MISSION HOSPITAL REGIONAL MED CENTER,106,1,1,7444,5492649.770000004,888012.8799999999,16
1745,MISSION REGIONAL MEDICAL CENTER,77,1,1,4445,2262639.83,759316.9800000002,1
1746,MISSISSIPPI BAPTIST MEDICAL CENTER,115,1,1,14693,3103695.5899999994,809435.0600000004,18
1747,MISSOURI BAPTIST HOSPITAL SULLIVAN,36,1,1,2101,256717.40000000005,142108.95000000007,7
1748,MISSOURI BAPTIST MEDICAL CENTER,110,1,1,13525,2289511.9999999995,791896.6499999996,18
1749,MISSOURI DELTA MEDICAL CENTER,55,1,1,2748,1470649.53,380576.56999999995,14
1750,MISSOURI SOUTHERN HEALTHCARE,25,1,1,1431,212878.45,95084.62999999996,7
1751,MIZELL MEMORIAL HOSPITAL,30,1,1,1219,274021.25,108949.35000000002,7
1752,MOBERLY REGIONAL MEDICAL CENTER,39,1,1,2771,967053.9800000001,214699.06,0
1753,MOBILE INFIRMARY,118,1,1,15543,2659130.2800000003,794969.93,18
1754,MONMOUTH MEDICAL CENTER,101,1,1,11102,5842894.939999999,949526.2999999996,16
1755,MONONGAHELA VALLEY HOSPITAL,68,1,1,3886,894128.5199999998,299523.26,0
1756,MONONGALIA COUNTY GENERAL HOSPITAL,89,1,1,5623,1509705.7599999995,527323.6199999999,1
1757,MONROE COUNTY HOSPITAL,28,1,1,1627,251848.44,106152.60000000002,7
1758,MONROE COUNTY MEDICAL CENTER,32,1,1,1522,247687.72000000006,163821.41999999998,7
1759,MONROE HOSPITAL,20,1,1,1642,387713.08999999997,101685.31999999999,7
1760,MONROE SURGICAL HOSPITAL,7,1,1,886,62077.799999999996,16142.97,20
1761,MONTCLAIR HOSPITAL MEDICAL CENTER,25,1,1,613,689017.3700000001,269803.20999999996,7
1762,MONTEFIORE MEDICAL CENTER,124,1,1,87374,5603274.719999999,1805711.8199999998,3
1763,MONTEREY PARK HOSPITAL,27,1,1,1070,1713735.9000000001,232278.62999999998,0
1764,MONTFORT JONES MEMORIAL HOSPITAL,28,1,1,904,211179.05000000002,107594.2,7
1765,MONTGOMERY GENERAL HOSPITAL INC,80,1,1,3590,842853.5800000002,794042.7200000001,1
1766,MONTGOMERY HOSPITAL,56,1,1,3022,2664722.5099999993,369198.6499999999,14
1767,MONTROSE MEMORIAL HOSPITAL,43,1,1,4318,468631.13,207037.25,7
1768,MOORE COUNTY HOSPITAL DISTRICT,11,1,1,286,121432.96000000002,55476.49,20
1769,MOREHEAD MEMORIAL HOSPITAL,75,1,1,6287,860675.8999999997,402182.18999999994,14
1770,MOREHOUSE GENERAL HOSPITAL,33,1,1,2645,247735.62999999995,145214.24999999997,7
1771,MORRIS HOSPITAL & HEALTHCARE CENTERS,69,1,1,8514,1592245.0700000005,438145.87000000005,14
1772,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,74,1,1,3153,1221049.4700000002,433113.71,14
1773,MORRISTOWN MEMORIAL HOSPITAL,121,1,1,32162,4948520.100000003,1172700.3900000006,4
1774,MORTON COUNTY HOSPITAL,16,1,1,477,71607.44,67112.20999999999,20
1775,MORTON HOSPITAL,89,1,1,8979,733388.94,564671.8400000002,14
1776,MORTON PLANT HOSPITAL,117,1,1,13417,3321174.9600000004,781149.6,18
1777,MORTON PLANT NORTH BAY HOSPITAL,63,1,1,2219,1622131.2,323099.1000000001,14
1778,"MOSES H CONE MEMORIAL HOSPITAL, THE",122,1,1,29617,2052665.22,987844.6300000002,4
1779,MOSES TAYLOR HOSPITAL,79,1,1,6439,2098368.11,529379.93,1
1780,MOTHER FRANCES HOSPITAL,123,1,1,147523,4769480.43,821741.98,9
1781,MOUNT AUBURN HOSPITAL,74,1,1,2782,1260025.6099999996,733001.9700000001,14
1782,MOUNT CARMEL HEALTH,120,1,1,25613,2296805.4,963545.5400000003,4
1783,MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL,8,1,1,1429,138110.02,57182.36,20
1784,MOUNT CARMEL ST ANN'S HOSPITAL,95,1,1,8728,1669712.0300000003,721517.1700000002,1
1785,MOUNT CLEMENS REGIONAL MEDICAL CENTER,104,1,1,7218,2154489.910000001,904062.8900000004,18
1786,MOUNT NITTANY MEDICAL CENTER,91,1,1,7363,1925577.9299999997,494130.94,1
1787,MOUNT PLEASANT HOSPITAL,3,1,1,45,68581.22,15831.919999999998,20
1788,MOUNT SINAI HOSPITAL,120,1,1,47855,3630443.7600000007,1763230.7400000005,15
1789,MOUNT SINAI MEDICAL CENTER,111,1,1,16382,5646275.43,1087778.2299999997,10
1790,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,63,1,1,13059,464285.62000000005,287567.61999999994,0
1791,MOUNT VERNON HOSPITAL,41,1,1,3707,550785.3599999999,305384.31,0
1792,MOUNTAIN VIEW HOSPITAL,32,2,2,8429,357980.57999999984,126536.69000000003,11
1793,MOUNTAIN VIEW REGIONAL HOSPITAL,8,1,1,790,255293.48,59697.08,20
1794,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,90,2,2,7459,2936705.08,787975.4700000001,11
1795,"MOUNTAIN VISTA MEDICAL CENTER, LP",74,1,1,3003,3767500.4299999992,751840.2799999999,1
1796,MOUNTAIN WEST MEDICAL CENTER,23,1,1,693,294775.74,109539.35,7
1797,MOUNTAINSIDE HOSPITAL,97,1,1,11251,4313971.93,949930.6499999999,16
1798,MOUNTAINVIEW HOSPITAL,107,1,1,5866,7189791.249999999,993797.38,10
1799,MT EDGECUMBE HOSPITAL,1,1,1,18,10425.56,7487.0,20
1800,MT GRAHAM REGIONAL MEDICAL CENTER,19,1,1,968,286676.86999999994,133531.13,7
1801,MT SINAI HOSPITAL MEDICAL CENTER,78,1,1,4605,2238081.5899999994,857848.54,1
1802,MUHLENBERG COMMUNITY HOSPITAL,36,1,1,1762,339464.59,131531.53000000003,7
1803,MULTICARE GOOD SAMARITAN HOSPITAL,91,1,1,16260,4252176.740000001,863448.2500000001,18
1804,MUNROE REGIONAL MEDICAL CENTER,111,1,1,9233,3557862.3000000003,797099.6199999999,18
1805,MUNSON MEDICAL CENTER,119,1,1,29686,2609536.0400000005,993921.8000000002,4
1806,MURPHY MEDICAL CENTER INC,39,1,1,2292,421493.3100000001,195812.40000000002,7
1807,MURRAY MEDICAL CENTER,17,1,1,706,178275.30999999997,66000.12,20
1808,MURRAY-CALLOWAY COUNTY HOSPITAL,65,1,1,3149,1016099.2499999998,333253.54000000004,0
1809,MUSC MEDICAL CENTER,112,1,1,35705,2796039.889999998,1298769.290000001,4
1810,MUSKOGEE COMMUNITY HOSPITAL,31,1,1,3170,422891.99,227624.6,7
1811,MUSKOGEE REGIONAL MEDICAL CENTER,86,1,1,5362,1569370.3000000003,515922.2600000001,14
1812,NACOGDOCHES MEDICAL CENTER,62,1,1,2811,2247678.809999999,335042.6100000001,14
1813,NANTICOKE MEMORIAL HOSPITAL,71,1,1,7577,1068862.3599999999,555371.19,14
1814,NANTUCKET COTTAGE HOSPITAL,12,1,1,735,22353.42,7403.45,20
1815,NAPLES COMMUNITY HOSPITAL,121,1,1,23743,3463702.2199999993,872335.2199999994,4
1816,NASH GENERAL HOSPITAL,109,1,1,11550,2020502.08,888563.6700000003,18
1817,NASHOBA VALLEY MEDICAL CENTER,35,1,1,3667,335851.6400000002,139445.87999999998,7
1818,NASON HOSPITAL,23,1,1,997,86766.57,56297.77,20
1819,NASSAU UNIVERSITY MEDICAL CENTER,78,1,1,14346,1497947.24,941084.8400000002,1
1820,NATCHEZ COMMUNITY HOSPITAL/SWING BED,52,1,1,3348,1681138.0100000002,227564.77999999997,0
1821,NATCHEZ REGIONAL MEDICAL CENTER,34,1,1,1879,1044042.7500000001,156377.00000000006,7
1822,NATCHITOCHES REGIONAL MEDICAL CENTER,36,1,1,1628,404502.8599999999,178430.34,7
1823,NATHAN LITTAUER HOSPITAL,45,1,1,15584,667840.6100000002,215355.77,0
1824,NATIONAL PARK MEDICAL CENTER,72,1,1,3106,3959923.2099999995,552150.1299999999,1
1825,NATIVIDAD MEDICAL CENTER,24,1,1,7756,935675.41,175228.46,7
1826,NAVARRO REGIONAL HOSPITAL,56,1,1,2577,1246837.7900000005,288051.89999999997,0
1827,NAZARETH HOSPITAL,84,1,1,5424,3097672.3600000013,569755.47,1
1828,NEA BAPTIST MEMORIAL HOSPITAL,84,1,1,4456,2136927.1100000003,623458.7299999999,1
1829,NEBRASKA HEART HOSPITAL,28,1,1,5842,376899.25,190657.84000000005,7
1830,NEBRASKA ORTHOPAEDIC HOSPITAL,7,1,1,1206,91227.84999999999,34786.28999999999,20
1831,"NEBRASKA SPINE HOSPITAL, LLC",3,1,1,166,187774.87,42363.61,20
1832,NESHOBA COUNTY GENERAL HOSPITAL,19,1,1,833,130561.20000000003,72517.23999999999,20
1833,NEVADA REGIONAL MEDICAL CENTER,25,1,1,3933,161632.89,79743.5,7
1834,NEW ENGLAND BAPTIST HOSPITAL,23,1,1,12761,241603.33999999994,120823.86,7
1835,NEW HANOVER REGIONAL MEDICAL CENTER,121,1,1,29153,2501562.799999999,1019821.3399999995,4
1836,NEW MILFORD HOSPITAL,41,1,1,5548,808196.9400000002,257167.44000000003,0
1837,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",69,1,1,3192,1333315.5200000005,864961.5499999996,1
1838,NEW YORK DOWNTOWN HOSPITAL,63,1,1,4652,1267603.9000000004,800776.2900000004,14
1839,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,103,1,1,20573,3166298.01,1324263.1299999997,4
1840,NEW YORK METHODIST HOSPITAL,109,1,1,17971,2540428.21,1340418.6199999996,4
1841,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,56,1,1,1858,1255796.3299999998,511430.9899999998,14
1842,NEW YORK-PRESBYTERIAN HOSPITAL,123,1,1,105810,5058990.800000001,1807619.6999999993,3
1843,NEWARK BETH ISRAEL MEDICAL CENTER,101,1,1,20183,6428752.370000001,1318255.83,10
1844,NEWARK-WAYNE COMMUNITY HOSPITAL,35,1,1,1096,508513.47,214244.93000000005,7
1845,NEWBERRY COUNTY MEMORIAL HOSPITAL,36,1,1,1812,409326.4400000002,160264.24000000002,7
1846,NEWMAN MEMORIAL HOSPITAL,9,1,1,340,50845.560000000005,25233.28,20
1847,NEWMAN REGIONAL HEALTH,43,1,1,3289,421014.7899999999,168831.93000000005,7
1848,NEWPORT HOSPITAL,53,1,1,3691,807131.54,354177.7,0
1849,NEWTON MEDICAL CENTER,70,2,2,8976,1426090.8299999998,534439.99,11
1850,NEWTON MEMORIAL HOSPITAL,85,1,1,6160,5216598.450000001,670561.7699999999,18
1851,NEWTON-WELLESLEY HOSPITAL,96,1,1,19004,2049061.050000001,666216.07,1
1852,NIAGARA FALLS MEMORIAL MEDICAL CENTER,43,1,1,2959,496976.8300000001,292164.69999999995,0
1853,NICHOLAS H NOYES MEMORIAL HOSPITAL,34,1,1,2343,242331.85999999993,137528.50000000003,7
1854,NIX HEALTH CARE SYSTEM,44,1,1,24456,1115392.39,260020.32,0
1855,NOBLE HOSPITAL,46,1,1,6455,516306.18,232755.56999999992,0
1856,NOCONA GENERAL HOSPITAL,16,1,1,479,93551.6,61593.659999999996,20
1857,NORMAN REGIONAL HEALTH SYSTEM,105,1,1,9561,3722923.55,723257.2499999998,18
1858,NORTH ADAMS REGIONAL HOSPITAL,33,1,1,5061,350505.07999999996,151337.29,7
1859,NORTH ARKANSAS REGIONAL MEDICAL CENTER,52,1,1,4692,641879.79,237592.88999999993,0
1860,NORTH AUSTIN MEDICAL CENTER,102,1,1,8240,4049549.9799999977,785177.7900000002,18
1861,NORTH BALDWIN INFIRMARY,18,1,1,896,150749.64000000004,72873.88000000002,20
1862,NORTH CAROLINA BAPTIST HOSPITAL,125,1,1,131838,2745838.2000000016,1418503.8900000006,9
1863,NORTH CAROLINA SPECIALTY HOSPITAL,6,1,1,1468,165186.58000000002,49930.450000000004,20
1864,NORTH CENTRAL BRONX HOSPITAL,15,1,1,257,259779.66,191866.31999999998,7
1865,NORTH CENTRAL SURGICAL CENTER LLP,10,1,1,1242,126817.71,44290.51999999999,20
1866,NORTH COLORADO MEDICAL CENTER,109,1,1,17905,3360320.6399999987,874469.1399999998,18
1867,NORTH CYPRESS MEDICAL CENTER,84,1,1,8485,5333816.420000002,646425.7399999998,18
1868,NORTH FLORIDA REGIONAL MEDICAL CENTER,116,1,1,37391,6271834.56,852146.9699999997,4
1869,NORTH FULTON REGIONAL HOSPITAL,70,1,1,3645,3791221.460000001,446923.7300000001,1
1870,NORTH GEORGIA MEDICAL CENTER,19,1,1,1504,112468.01,43332.73,20
1871,NORTH HAWAII COMMUNITY HOSPITAL,15,1,1,668,128603.69999999998,72094.93000000001,20
1872,NORTH HILLS HOSPITAL,74,1,1,6825,3391923.6899999995,555294.5099999999,1
1873,NORTH KANSAS CITY HOSPITAL,116,1,1,18799,2943571.76,762698.5000000001,18
1874,NORTH MEMORIAL MEDICAL CENTER,112,1,1,11846,3661108.879999999,955758.3200000001,16
1875,NORTH METRO MEDICAL CENTER,29,1,1,1884,217353.58,88400.30999999998,7
1876,NORTH MISSISSIPPI MEDICAL CENTER,119,1,1,23689,2389285.7800000003,899623.3300000001,4
1877,NORTH OAK REGIONAL MEDICAL CENTER,16,1,1,424,189920.25999999998,72304.15000000002,20
1878,"NORTH OAKS MEDICAL CENTER, LLC",96,1,1,9072,5913223.840000001,839271.0700000002,16
1879,NORTH OKALOOSA MEDICAL CENTER,83,1,1,4087,3868499.9399999995,551343.7600000001,1
1880,NORTH OTTAWA COMMUNITY HOSPITAL,18,1,1,1019,152446.86000000002,66892.98,20
1881,NORTH SHORE MEDICAL CENTER,121,2,2,30053,8585853.159999998,1913098.4000000015,5
1882,NORTH SHORE UNIVERSITY HOSPITAL,122,1,1,26791,5534516.27,1456230.7499999993,10
1883,NORTH SUBURBAN MEDICAL CENTER,41,1,1,1663,1649176.5900000003,321409.63,0
1884,NORTH TEXAS HOSPITAL,13,1,1,2862,213829.24000000002,43497.31,20
1885,NORTH TEXAS MEDICAL CENTER,21,1,1,909,283892.56,81861.99999999999,20
1886,NORTH VISTA HOSPITAL,45,1,1,1915,2493221.849999999,400002.95999999996,14
1887,NORTHBAY MEDICAL CENTER,79,1,1,19890,8501350.830000002,1015006.7,10
1888,NORTHBAY VACAVALLEY HOSPITAL,4,1,1,60,367552.95,34570.590000000004,20
1889,NORTHCREST MEDICAL CENTER,49,1,1,3074,714679.4699999999,276421.61999999994,0
1890,NORTHEAST ALABAMA REGIONAL MED CENTER,105,1,1,8309,2772417.969999999,695801.0300000004,18
1891,"NORTHEAST GEORGIA MEDICAL CENTER, INC",118,1,1,16324,3541995.1,929038.7300000002,16
1892,NORTHEAST REGIONAL MEDICAL CENTER,42,1,1,4431,1148949.3199999996,291758.46999999986,0
1893,NORTHEASTERN NEVADA REGIONAL HOSPITAL,25,1,1,1027,398880.76999999996,136010.79,7
1894,NORTHERN DUTCHESS HOSPITAL,36,1,1,1924,710291.3500000001,207342.22,7
1895,NORTHERN HOSPITAL OF SURRY COUNTY,49,1,1,3694,527860.34,253189.51999999996,0
1896,NORTHERN LOUISIANA MEDICAL CENTER,70,1,1,2975,1953198.49,409699.8,14
1897,NORTHERN MAINE MEDICAL CENTER,35,1,1,2466,303051.05999999994,202617.66999999998,7
1898,NORTHERN MICHIGAN REGIONAL HOSPITAL,95,1,1,10335,1675071.6399999992,756399.3900000002,1
1899,NORTHERN MONTANA HOSPITAL,22,1,1,2530,156673.44000000003,76613.5,20
1900,NORTHERN NAVAJO MEDICAL CENTER,9,1,1,256,72054.36,60574.420000000006,20
1901,NORTHERN NEVADA MEDICAL CENTER,47,1,1,2353,1515488.7300000002,263805.1000000001,0
1902,NORTHERN WESTCHESTER HOSPITAL,77,1,1,5380,1475463.6400000004,551759.3599999999,14
1903,NORTHFIELD HOSPITAL,24,1,1,1307,250778.67000000004,90444.35,7
1904,NORTHPORT MEDICAL CENTER,28,1,1,1013,594849.91,185621.58000000002,7
1905,NORTHRIDGE HOSPITAL MEDICAL CENTER,97,1,1,7715,7180241.579999997,1151876.4000000004,10
1906,NORTHRIDGE MEDICAL CENTER,23,1,1,705,253545.64000000004,128961.39999999998,7
1907,NORTHSIDE HOSPITAL,105,2,2,16983,7649991.030000002,1137976.8399999996,5
1908,NORTHSIDE HOSPITAL CHEROKEE,56,1,1,2255,1702661.7000000002,362010.9199999999,14
1909,NORTHSIDE HOSPITAL FORSYTH,90,1,1,7582,3310707.2499999995,632651.2600000002,1
1910,NORTHSIDE MEDICAL CENTER,71,1,1,4488,2191296.6,543097.6399999998,14
1911,NORTHWEST COMMUNITY HOSPITAL,117,1,1,27250,3438927.6,855113.8799999995,4
1912,NORTHWEST HILLS SURGICAL HOSPITAL,6,1,1,666,100529.97,36858.14,20
1913,NORTHWEST HOSPITAL,89,1,1,11043,2470046.7299999986,660584.3000000002,1
1914,NORTHWEST HOSPITAL CENTER,83,1,1,5540,1079349.4200000002,1016145.5200000001,1
1915,NORTHWEST MEDICAL CENTER,110,3,3,25538,8371393.920000006,1456922.13,13
1916,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,61,1,1,2986,1610944.3599999999,426834.67999999993,14
1917,NORTHWEST SPECIALTY HOSPITAL,6,1,1,683,159696.75,46951.719999999994,20
1918,NORTHWEST SURGICAL HOSPITAL,3,1,1,550,52120.8,11203.800000000001,20
1919,NORTHWEST TEXAS HOSPITAL,97,1,1,11420,3248088.900000001,846520.4899999998,18
1920,NORTHWEST TEXAS SURGERY CENTER,2,1,1,370,47832.78,10603.91,20
1921,NORTHWESTERN MEDICAL CENTER INC,43,1,1,3382,349804.17999999993,284716.59,0
1922,NORTHWESTERN MEMORIAL HOSPITAL,122,1,1,35554,5544604.169999999,1435469.7100000004,10
1923,NORTON COMMUNITY HOSPITAL,42,1,1,2972,668469.38,177888.94999999995,7
1924,"NORTON HOSPITALS, INC",126,1,1,46285,3774533.82,1015310.6699999999,15
1925,NORWALK HOSPITAL ASSOCIATION,106,1,1,13025,3295974.7899999986,1044340.98,16
1926,NORWEGIAN-AMERICAN HOSPITAL,40,1,1,2031,788200.7800000001,284385.19,0
1927,NORWOOD HOSPITAL,98,1,1,8143,1182917.51,697587.9700000001,1
1928,NOVATO COMMUNITY HOSPITAL,19,1,1,2855,588065.01,109144.23,7
1929,"NW ARKANSAS HOSPITALS, LLC",104,1,1,14813,3675541.7499999986,720539.2399999999,18
1930,NYACK HOSPITAL,96,1,1,5993,3444481.890000002,823984.9799999999,18
1931,NYU HOSPITALS CENTER,119,1,1,21738,5852956.910000001,1549415.449999999,10
1932,O U MEDICAL CENTER,96,1,1,9983,4209825.88,1071865.469999999,16
1933,O'BLENESS MEMORIAL HOSPITAL,33,1,1,2341,309083.2799999999,196580.86999999994,7
1934,O'CONNOR HOSPITAL,92,1,1,13746,7325142.7,1162932.7300000002,10
1935,OAK FOREST HOSPITAL,1,1,1,11,10998.64,3847.64,20
1936,OAK HILL HOSPITAL,101,1,1,5977,6438972.400000002,709518.6799999998,16
1937,OAK LEAF SURGCL HSPTL,8,1,1,928,34550.54,12965.570000000002,20
1938,OAK VALLEY DISTRICT HOSPITAL,13,1,1,334,364313.55,76439.23,20
1939,OAKBEND MEDICAL CENTER,61,1,1,2964,1563141.5199999996,374153.38,14
1940,OAKDALE COMMUNITY HOSPITAL,20,1,1,744,305756.73000000004,114384.34,7
1941,OAKLAWN HOSPITAL,46,1,1,4413,684242.26,197294.58000000002,0
1942,OAKWOOD ANNAPOLIS HOSPITAL,79,1,1,4728,1674163.3700000003,619120.52,1
1943,OAKWOOD HERITAGE HOSPITAL,72,1,1,3928,1325164.9199999997,468754.6100000002,14
1944,OAKWOOD HOSPITAL AND MEDICAL CENTER,113,1,1,13970,3142316.4300000006,1084887.7100000002,16
1945,OAKWOOD SOUTHSHORE MEDICAL CENTER,81,1,1,4393,1975017.4000000001,667017.1200000001,1
1946,OASIS HOSPITAL,1,1,1,29,33160.72,10484.34,20
1947,OCALA REGIONAL MEDICAL CENTER,108,1,1,7135,4970556.1,748874.25,16
1948,OCEAN MEDICAL CENTER,107,1,1,9641,5714619.4799999995,806705.4900000001,16
1949,OCH REGIONAL MEDICAL CENTER,32,1,1,1727,444012.24000000005,157322.53,7
1950,OCHSNER BAPTIST MEDICAL CENTER LLC,29,1,1,1584,462755.6999999999,130114.94000000003,7
1951,OCHSNER FOUNDATION HOSPITAL,103,1,1,10317,3139973.5,988568.7699999996,18
1952,"OCHSNER MEDICAL CENTER - NORTHSHORE, LLC",37,1,1,1162,1789506.5999999994,254477.80000000002,0
1953,OCHSNER MEDICAL CENTER-BATON ROUGE,43,1,1,1337,753492.34,283197.6,0
1954,OCHSNER MEDICAL CENTER-KENNER LLC,44,1,1,5201,1302672.5899999999,309578.51,0
1955,OCONEE MEDICAL CENTER,83,1,1,8637,1822393.8,531278.7900000002,1
1956,OCONEE REGIONAL MEDICAL CENTER,44,1,1,3536,744090.5900000001,234662.79999999996,0
1957,OCONOMOWOC MEM HSPTL,44,1,1,5420,589659.6100000001,195781.16,0
1958,ODESSA REGIONAL HOSPITAL,36,1,1,1529,1096822.88,252639.52,0
1959,OGDEN REGIONAL MEDICAL CENTER,45,1,1,2998,760002.5699999996,221043.49000000002,0
